onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0203428268433	1	heat	48	1	0	Patch4	te-30	2542.0	60
32.3437469005585	1	heat	48	2	0	Patch4	te-30	3774.3	60
43.406299829483	1	heat	48	3	0	Patch4	te-30	4880.6	60
56.7909588813782	1	heat	48	4	0	Patch4	te-30	6219.1	60
68.0634748935699	1	heat	48	5	0	Patch4	te-30	7346.3	60
79.5460019111633	1	heat	48	6	0	Patch4	te-30	8494.6	60
92.0798637866974	1	heat	48	7	0	Patch4	te-30	9748.0	60
106.51536488533	1	heat	48	8	0	Patch4	te-30	11191.5	60
120.110056877136	1	heat	48	9	0	Patch4	te-30	12551.0	60
133.064100980759	1	heat	48	10	0	Patch4	te-30	13846.4	60
145.174461841583	1	heat	48	11	0	Patch4	te-30	15057.4	60
158.348835945129	1	heat	48	12	0	Patch4	te-30	16374.9	60
172.994057893753	1	heat	48	13	0	Patch4	te-30	17839.4	60
188.05970788002	1	heat	48	14	0	Patch4	te-30	19345.9	60
200.803179979324	1	heat	48	15	0	Patch4	te-30	20620.3	60
214.818333864212	1	heat	48	16	0	Patch4	te-30	22021.8	60
228.622490882874	1	heat	48	17	0	Patch4	te-30	23402.2	60
240.522472858429	1	heat	48	18	0	Patch4	te-30	24592.2	60
255.37861084938	1	heat	48	19	0	Patch4	te-30	26077.8	60
269.602466821671	1	heat	48	20	0	Patch4	te-30	27500.2	60
