onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0119979381561	1	heat	48	1	1	Patch2	te-40	2541.3	90
32.1151599884033	1	heat	48	2	1	Patch2	te-40	3751.6	90
44.0188529491425	1	heat	48	3	1	Patch2	te-40	4941.9	90
59.0853910446167	1	heat	48	4	1	Patch2	te-40	6448.6	90
70.357635974884	1	heat	48	5	1	Patch2	te-40	7575.8	90
84.1622660160065	1	heat	48	6	1	Patch2	te-40	8956.3	90
96.9060969352722	1	heat	48	7	1	Patch2	te-40	10230.7	90
107.968025922775	1	heat	48	8	1	Patch2	te-40	11336.9	90
122.613724946976	1	heat	48	9	1	Patch2	te-40	12801.4	90
135.998000860214	1	heat	48	10	1	Patch2	te-40	14139.9	90
149.592977046967	1	heat	48	11	1	Patch2	te-40	15499.3	90
162.123162984848	1	heat	48	12	1	Patch2	te-40	16752.4	90
175.077626943588	1	heat	48	13	1	Patch2	te-40	18047.8	90
186.770355939865	1	heat	48	14	1	Patch2	te-40	19217.1	90
199.087167978287	1	heat	48	15	1	Patch2	te-40	20448.8	90
213.103073835373	1	heat	48	16	1	Patch2	te-40	21850.4	90
227.954983949661	1	heat	48	17	1	Patch2	te-40	23335.5	90
242.179958820343	1	heat	48	18	1	Patch2	te-40	24758.0	90
255.353977918625	1	heat	48	19	1	Patch2	te-40	26075.4	90
269.789110898972	1	heat	48	20	1	Patch2	te-40	27519.0	90
