onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0202970504761	1	heat	48	1	1	Patch1	te-40	2542.0	90
34.8738598823547	1	heat	48	2	1	Patch1	te-40	4027.3	90
47.4059059619904	1	heat	48	3	1	Patch1	te-40	5280.6	90
58.4578590393066	1	heat	48	4	1	Patch1	te-40	6385.7	90
72.6778590679169	1	heat	48	5	1	Patch1	te-40	7807.7	90
87.1133990287781	1	heat	48	6	1	Patch1	te-40	9251.3	90
101.760766029358	1	heat	48	7	1	Patch1	te-40	10716.0	90
114.504685878754	1	heat	48	8	1	Patch1	te-40	11990.4	90
127.877850055695	1	heat	48	9	1	Patch1	te-40	13327.7	90
141.470049858093	1	heat	48	10	1	Patch1	te-40	14687.0	90
155.262336969376	1	heat	48	11	1	Patch1	te-40	16066.2	90
167.36611199379	1	heat	48	12	1	Patch1	te-40	17276.6	90
181.377825975418	1	heat	48	13	1	Patch1	te-40	18677.7	90
196.443999052048	1	heat	48	14	1	Patch1	te-40	20184.4	90
208.346878051758	1	heat	48	15	1	Patch1	te-40	21374.6	90
220.03965306282	1	heat	48	16	1	Patch1	te-40	22543.9	90
231.311939954758	1	heat	48	17	1	Patch1	te-40	23671.2	90
242.794682979584	1	heat	48	18	1	Patch1	te-40	24819.4	90
255.748545885086	1	heat	48	19	1	Patch1	te-40	26114.8	90
268.069829940796	1	heat	48	20	1	Patch1	te-40	27346.9	90
