onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0202939510345	1	heat	48	1	0	Patch1	te-55	2542.0	70
31.2891159057617	1	heat	48	2	0	Patch1	te-55	3668.9	70
42.9819478988647	1	heat	48	3	0	Patch1	te-55	4838.2	70
54.8850309848785	1	heat	48	4	0	Patch1	te-55	6028.5	70
67.2084929943085	1	heat	48	5	0	Patch1	te-55	7260.8	70
81.0132360458374	1	heat	48	6	0	Patch1	te-55	8641.3	70
94.3977661132812	1	heat	48	7	0	Patch1	te-55	9979.7	70
108.621355056763	1	heat	48	8	0	Patch1	te-55	11402.1	70
123.687345981598	1	heat	48	9	0	Patch1	te-55	12908.7	70
136.431405067444	1	heat	48	10	0	Patch1	te-55	14183.1	70
147.913112878799	1	heat	48	11	0	Patch1	te-55	15331.3	70
162.769012928009	1	heat	48	12	0	Patch1	te-55	16816.9	70
176.35315990448	1	heat	48	13	0	Patch1	te-55	18175.3	70
190.785139083862	1	heat	48	14	0	Patch1	te-55	19618.5	70
204.797183036804	1	heat	48	15	0	Patch1	te-55	21019.7	70
217.32910490036	1	heat	48	16	0	Patch1	te-55	22272.9	70
228.391506910324	1	heat	48	17	0	Patch1	te-55	23379.1	70
243.037333011627	1	heat	48	18	0	Patch1	te-55	24843.7	70
255.991496086121	1	heat	48	19	0	Patch1	te-55	26139.1	70
269.165112018585	1	heat	48	20	0	Patch1	te-55	27456.5	70
