onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0203590393066	1	heat	48	1	0	Patch2	te-35	2542.135903930664	52
32.3442761898041	1	heat	48	2	0	Patch2	te-35	3774.5276189804076	52
45.9388320446014	1	heat	48	3	0	Patch2	te-35	5133.983204460144	52
58.6825861930847	1	heat	48	4	0	Patch2	te-35	6408.358619308472	52
73.1181690692902	1	heat	48	5	0	Patch2	te-35	7851.9169069290165	52
86.0722091197968	1	heat	48	6	0	Patch2	te-35	9147.320911979676	52
101.138280153275	1	heat	48	7	0	Patch2	te-35	10653.928015327454	52
112.83106803894	1	heat	48	8	0	Patch2	te-35	11823.206803894043	52
124.313546180725	1	heat	48	9	0	Patch2	te-35	12971.45461807251	52
135.375663042068	1	heat	48	10	0	Patch2	te-35	14077.666304206849	52
147.909378051758	1	heat	48	11	0	Patch2	te-35	15331.037805175782	52
161.083497047424	1	heat	48	12	0	Patch2	te-35	16648.44970474243	52
172.356051206589	1	heat	48	13	0	Patch2	te-35	17775.705120658873	52
187.002452135086	1	heat	48	14	0	Patch2	te-35	19240.345213508605	52
201.017564058304	1	heat	48	15	0	Patch2	te-35	20641.856405830382	52
212.92041516304	1	heat	48	16	0	Patch2	te-35	21832.141516304015	52
226.712164163589	1	heat	48	17	0	Patch2	te-35	23211.316416358946	52
240.937355995178	1	heat	48	18	0	Patch2	te-35	24633.83559951782	52
253.05064702034	1	heat	48	19	0	Patch2	te-35	25845.164702033995	52
267.906611204147	1	heat	48	20	0	Patch2	te-35	27330.761120414732	52
